ROUND,AI RANK,STATE,INSTITUTE,COURSE,QUOTA,CATEGORY,FEE,STIPEND,BOND YRS,BEDS
3,31035,Karnataka,"Shri BM Patil, Vijayapura",GENERAL MEDICINE,MNG,GEN,"₹ 34,00,000","₹ 45,000",0,1130
3,31040,Telangana,"Apollo Hosp,Jubilee Hills,Hyd",DNBORTHOPAEDICS,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 67,032",0,550
3,31045,Madhya Pradesh,"Dist Hosp, SevanSkyRiver,Sehore",DGO(NBEMS),NBE Diploma,GEN,"₹ 1,25,000","₹ 75,444",3,-
3,31047,Maharashtra,"Krishna IMS, Karad",GENERAL MEDICINE,MNG,GEN,"₹ 41,00,000","₹ 92,470",0,1125
3,31049,Karnataka,"JN Medical College, Belgaum",PAEDIATRICS,MNG,GEN,"₹ 30,30,000","₹ 56,250",1,2400
3,31055,Tamil Nadu,"MGM Health Care, Aminjikarai",DA(NBEMS),NBE Diploma,GEN,"₹ 1,25,000","₹ 52,451",0,407
3,31057,Kerala,"Medical Trust Hospital, Kochi",DA(NBEMS),NBE Diploma,GEN,"₹ 1,25,000","₹ 57,876",0,575
3,31059,Kerala,"MGMMuthoot Hosp,Pathanamthitta",DNBFAMILY MEDICINE,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 57,876",0,150
3,31061,Uttar Pradesh,"Autonomous State MC, Firozabad",DNBEMERGENCY MEDICINE,DNB Post MBBS,EWS,"₹ 1,25,000","₹ 1,10,646",0,244
3,31065,Rajasthan,"SMS, Jaipur",SPM,AIQ,OBC,"₹ 14,093","₹ 87,216",2,5702
3,31067,Jharkhand,"Tata Main Hospital, Jamshedpur",DNBANAESTHESIOLOGY,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 52,000",0,983
3,31069,Rajasthan,"Govt District Hosp, Bundi",DCH(NBEMS),NBE Diploma,OBC,"₹ 1,25,000","₹ 62,388",0,-
3,31072,Maharashtra,"Hiranandani Hosp, Mumbai",DTBCD(NBEMS),NBE Diploma,GEN,"₹ 1,25,000","₹ 80,000",0,244
3,31073,Uttar Pradesh,"Dr RML IMS, Lucknow",PATHOLOGY,AIQ,GEN,"₹ 35,000","₹ 1,26,726",2,1368
3,31074,Telangana,"Govt Med Coll, Siddipet",PAEDIATRICS,AIQ,ST,"₹ 15,000","₹ 67,032",1,780
3,31078,Tamil Nadu,"SKS Hospital, Salem",DNBORTHOPAEDICS,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 52,453",0,225
3,31081,Karnataka,"Taluka General Hosp, Belagavi",DGO(NBEMS),NBE Diploma,GEN,"₹ 1,25,000","₹ 56,250",1,-
3,31085,West Bengal,Kharagpur Sub-Divisional Hosp,DGO(NBEMS),NBE Diploma,GEN,"₹ 1,25,000","₹ 61,634",0,-
3,31092,Haryana,"Maharaja Agrasen MCHosp,Agroha",DTBCD(NBEMS),NBE Diploma,GEN,"₹ 1,25,000","₹ 90,209",0,705
3,31093,Maharashtra,"Govt Med Coll, Jalgaon",ANAESTHESIOLOGY,AIQ,EWS,"₹ 1,57,100","₹ 93,559",1,441
3,31098,Uttar Pradesh,"LLRM Med Coll, Meerut",PATHOLOGY,AIQ,GEN,"₹ 24,000","₹ 1,10,646",2,1090
3,31100,Maharashtra,"Hiranandani Hosp, Mumbai",DTBCD(NBEMS),NBE Diploma,GEN,"₹ 1,25,000","₹ 80,000",0,244
3,31101,Maharashtra,"Poona Hospital & RC, Pune",DNBANAESTHESIOLOGY,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 94,200",0,300
3,31103,Maharashtra,"Krishna IMS, Karad",RADIO DIAGNOSIS,MNG,GEN,"₹ 49,00,000","₹ 92,470",0,1125
3,31105,Maharashtra,"BVDU, Sangli",RADIO DIAGNOSIS,MNG,GEN,"₹ 44,56,850","₹ 86,000",1,853
3,31110,Tamil Nadu,"Rainbow Child,Chennai",DGO(NBEMS),NBE Diploma,GEN,"₹ 1,25,000","₹ 47,000",0,135
3,31113,Karnataka,"Manipal Hosp, Whitefield, BLR",DNBORTHOPAEDICS,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 56,250",0,287
3,31118,Telangana,"Laxmi Narasimha Hosp, Warangal",DGO(NBEMS),NBE Diploma,GEN,"₹ 1,25,000","₹ 67,032",0,-
3,31124,Karnataka,"Aster CMI Hospital, Bangalore",DGO(NBEMS),NBE Diploma,GEN,"₹ 1,25,000","₹ 56,250",0,509
3,31125,Gujarat,"SBKS, Vadodara",GENERAL MEDICINE,JM,GEN,"₹ 30,69,000","₹ 1,00,800",1,1340
3,31129,Uttarakhand,"VCSG MedCollHosp,PauriGarhwal",DCH(NBEMS),NBE Diploma,OBC,"₹ 1,25,000","₹ 76,600",2,774
3,31130,Delhi,"Bhagwati Hospital,Rohini",DCH(NBEMS),NBE Diploma,GEN,"₹ 1,25,000","₹ 70,000",0,-
3,31133,Haryana,"Pt BD Sharma, Rohtak",SPORTS MEDICINE,AIQ,EWS,"₹ 1,25,000","₹ 1,04,346",0,2080
3,31138,Pondicherry,"MGMC & RI, Pondicherry",GENERAL MEDICINE,MNG,GEN,"₹ 45,00,000","₹ 40,000",0,1380
3,31139,Delhi,"UCMS, Delhi",FORENSIC MEDICINE,AIQ,GEN,"₹ 47,220","₹ 1,32,336",1,1000
3,31140,West Bengal,"Calcutta Med Res Inst,Kolkata",DNBANAESTHESIOLOGY,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 61,634",0,440
3,31144,Madhya Pradesh,"SSMC, Rewa",ANAESTHESIOLOGY,AIQ,OBC,"₹ 1,01,500","₹ 75,444",1,1140
3,31146,Punjab,"Fortis Hospital, Mohali",DNBORTHOPAEDICS,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 76,000",0,350
3,31153,Rajasthan,"Govt Med Coll, Pali",ANAESTHESIOLOGY,AIQ,OBC,"₹ 89,489","₹ 87,216",2,-
3,31157,Jammu and Kashmir,"Assoc Hosp Govt MC, Baramulla",DGO(NBEMS),NBE Diploma,OBC,"₹ 1,25,000","₹ 59,500",0,363
3,31160,Maharashtra,"Dr RN Cooper Gen Hosp, Mumbai",DTBCD(NBEMS),NBE Diploma,OBC,"₹ 1,25,000","₹ 80,757",0,940
3,31162,Jammu and Kashmir,"Assoc Hosp Govt MC, Doda",DNBORTHOPAEDICS,DNB Post MBBS,GEN,"₹ 1,25,000","₹ 59,500",0,300
